order_id,customer_id,customer_name,product_id,product_name,category,quantity,unit_price_eur,discount_pct,tax_rate,total_amount_eur,payment_method,payment_status,order_date,shipping_city,shipping_country,shipping_method,delivery_date,delivery_status,warehouse_id,customer_segment,device_type,return_requested,customer_satisfaction_score,created_at
ORD-2023000053,CUST-988662,Paul Becker,PROD-16938,IKEA Plus 9879,Food,2.0,270.72,0.0,0.19,19.97,paypal,Completed,2025-11-15,Dresden,GERMANY,standard,2025-03-11,DELIVERED,WH-MUC,New,Mobile,True,,2023-08-07 17:21:00
ORD-2023000054,CUST-460663,Sarah Muller,PROD-42375,Apple Plus 2631,Beauty,3.0,453.85,20.06,0.19,880.57,credit_card,Refunded,2025-01-12,Dortmund,Germany,Express,2024-01-17,Cancelled,WH-CGN,VIP,mobile,True,5.0,2023-02-11 09:42:00
ORD-2023000055,CUST-733052,Thomas Boateng,PROD-82385,Nike Pro 2623,Electronics,4.0,258.54,0.0,0.19,1162.98,Klarna,Refunded,02/03/2023,Nuremberg,Deutschland,Next Day,15/01/2025,Pending,WH-HAM,Budget,MOBILE,False,1.0,2023-09-08 03:08:00
ORD-2023000056,CUST-377370,Petra Schneider,PROD-81948,Adidas Max 6373,Home,2.0,193.91,0.0,0.19,1780.41,Invoice,Completed,2025-05-20,Dortmund,Deutschland,Express,05 Jan 2025,In Transit,WH-BER,Regular,mobile,False,5.0,2023-06-21 07:25:00
ORD-2023000057,CUST-946335,Lisa Schulz,PROD-85009,Adidas Max 3124,Beauty,2.0,801.34,0.0,0.07,922.98,credit_card,completed,2024-05-12,Berlin,Deutschland,Next Day,2024-07-06,DELIVERED,WH-MUC,Budget,Desktop,True,,2023-01-23 09:12:00
ORD-2023000058,CUST-145561,Sarah Schulz,PROD-82086,Apple Pro 9970,Home,5.0,521.36,0.0,0.19,1020.04,Invoice,pending,30/12/2024,Hamburg,Deutschland,Standard,2023-04-09,Delivered,WH-CGN,New,Desktop,False,,2023-08-05 00:21:00
ORD-2023000059,CUST-865179,Petra Schulz,PROD-97087,Apple Pro 6724,Clothing,3.0,580.09,3.98,0.19,1144.31,paypal,Refunded,2025-04-04,Dresden,Deutschland,standard,07/29/2024,Delivered,WH-MUC,Budget,Mobile,True,5.0,2023-09-21 15:38:00
ORD-2023000060,CUST-581741,Mia Meyer,PROD-49156,Samsung Pro 7053,Toys,1.0,533.82,0.0,0.19,1606.27,Credit Card,Failed,2025-03-19,Munich,Germany,Pickup,2025-05-30,DELIVERED,WH-BER,Regular,Tablet,True,2.0,2023-01-18 11:38:00
ORD-2023000061,CUST-662275,Petra Boateng,PROD-77669,Apple Max 5340,Clothing,1.0,787.76,0.92,0.07,1488.56,PayPal,Failed,2024-12-11,Duisburg,GERMANY,Next Day,2023-04-15,Pending,WH-CGN,New,Tablet,False,,2023-06-21 06:33:00
ORD-2023000062,CUST-230889,Thomas Koch,PROD-40134,Adidas Pro 9600,Food,2.0,729.22,29.85,0.07,1657.7,paypal,Pending,2024-01-03,Dresden,DE,express,2025-05-19,DELIVERED,WH-BER,Regular,Desktop,False,,2023-02-16 17:50:00
ORD-2023000063,CUST-496922,Emma Wagner,PROD-99582,Apple Max 7798,Books,3.0,735.84,0.0,0.19,383.88,Credit Card,Pending,2025-06-19,Stuttgart,Germany,Standard,2025-03-31,delivered,WH-FRA,Regular,MOBILE,True,5.0,2023-09-11 03:25:00
ORD-2023000064,CUST-182627,Felix Schmidt,PROD-99354,IKEA Plus 9135,Food,5.0,329.51,8.51,0.19,427.69,Klarna,Refunded,12/10/2023,Cologne,GERMANY,Pickup,2023-03-07,Shipped,WH-MUC,Premium,Tablet,True,4.0,2023-07-16 18:46:00
ORD-2023000065,CUST-678856,Thomas Agyeman,PROD-76143,IKEA Pro 3588,Books,1.0,929.54,0.0,0.07,669.95,PayPal,completed,2023-10-04,Berlin,DE,express,2024-03-24,Shipped,WH-BER,Premium,Tablet,False,2.0,2023-01-13 15:15:00
ORD-2023000066,CUST-407419,Paul Bauer,PROD-71986,Nike Plus 8361,Clothing,1.0,472.04,0.0,0.19,1096.18,PayPal,Completed,16/03/2023,Duisburg,DE,standard,10/05/2024,delivered,WH-CGN,VIP,mobile,True,1.0,2023-11-25 14:53:00
ORD-2023000067,CUST-969693,Sophie Fischer,PROD-17290,Nike Plus 7790,Clothing,6.0,72.53,0.0,0.19,895.92,paypal,completed,2023-05-30,Hamburg,Deutschland,express,2024-08-17,Shipped,WH-HAM,VIP,mobile,True,1.0,2023-08-26 21:29:00
ORD-2023000068,CUST-759176,David Klein,PROD-34704,Nike Pro 3914,Home,2.0,111.64,0.0,0.07,394.08,credit_card,Completed,14 Sep 2025,Dusseldorf,Deutschland,Pickup,2025-10-03,In Transit,WH-MUC,VIP,Desktop,True,,2023-10-11 20:57:00
ORD-2023000069,CUST-748564,Felix Bauer,PROD-77683,Adidas Max 1204,Books,1.0,923.69,0.0,0.07,436.62,Invoice,completed,19/07/2024,Frankfurt,Deutschland,express,2025-11-28,Pending,WH-MUC,Premium,mobile,True,2.0,2023-08-07 02:29:00
ORD-2023000070,CUST-479201,Emma Fischer,PROD-50661,Apple Max 9350,Books,5.0,332.91,4.32,0.07,270.13,paypal,Refunded,06/20/2025,Hanover,Deutschland,express,2023-09-24,Shipped,WH-CGN,Budget,Mobile,False,3.0,2023-02-12 08:31:00
ORD-2023000071,CUST-705397,Max Agyeman,PROD-68837,Apple Plus 2279,Beauty,1.0,791.44,6.21,0.19,1833.59,Credit Card,Pending,2023-01-17,Bremen,GERMANY,Express,2023-11-21,Shipped,WH-DRS,Budget,mobile,False,3.0,2023-03-13 11:44:00
ORD-2023000072,CUST-301629,Sabine Sowah,PROD-48321,Bosch Plus 9608,Sports,6.0,281.81,2.75,0.19,136.13,Invoice,Refunded,2023-03-08,Dortmund,Deutschland,Express,2023-10-10,DELIVERED,WH-FRA,Regular,Mobile,True,3.0,2023-02-08 12:35:00
ORD-2023000073,CUST-838797,Sophie Koch,PROD-21800,Nike Pro 7998,Toys,2.0,463.49,0.0,0.19,959.46,paypal,COMPLETED,2023-12-24,Munich,DE,standard,2023-08-22,In Transit,WH-FRA,VIP,Tablet,True,5.0,2023-06-18 09:56:00
ORD-2023000074,CUST-172933,Emma Becker,PROD-41638,Bosch Plus 3344,Home,4.0,737.61,0.0,0.19,538.09,Credit Card,Failed,2025-05-03,Nuremberg,Germany,express,2023-04-30,In Transit,WH-DRS,VIP,MOBILE,True,,2023-04-12 20:54:00
ORD-2023000075,CUST-148050,Sabine Becker,PROD-45730,Bosch Pro 9151,Beauty,3.0,33.39,14.17,0.19,490.93,Credit Card,COMPLETED,2025-03-17,Nuremberg,Deutschland,Pickup,09/01/2024,delivered,WH-DRS,Premium,MOBILE,False,,2023-06-28 07:12:00
ORD-2023000076,CUST-793384,Andreas Bauer,PROD-70595,Bosch Pro 2873,Electronics,5.0,708.59,0.0,0.19,1437.48,credit_card,Refunded,28/02/2025,Hamburg,Germany,standard,2025-12-16,Shipped,WH-BER,VIP,Tablet,False,3.0,2023-08-04 21:46:00
ORD-2023000077,CUST-338968,Lisa Muller,PROD-34663,Bosch Max 2915,Toys,7.0,78.9,4.06,0.19,1939.58,credit_card,Pending,2024-11-04,Frankfurt,Deutschland,Standard,07/20/2024,Delivered,WH-CGN,Budget,MOBILE,False,4.0,2023-10-21 03:51:00
ORD-2023000078,CUST-910620,Thomas Muller,PROD-52056,IKEA Pro 6463,Home,4.0,524.79,13.35,0.19,1295.27,Credit Card,COMPLETED,2024-03-11,Cologne,Germany,Express,2024-06-13,Pending,WH-FRA,VIP,Tablet,True,5.0,2023-12-04 19:12:00
ORD-2023000079,CUST-403445,Lukas Schneider,PROD-16228,Adidas Max 6737,Beauty,1.0,284.11,0.0,0.19,1525.45,paypal,Failed,2025-11-26,Duisburg,GERMANY,standard,2023-11-20,Delivered,WH-HAM,New,Tablet,False,5.0,2023-04-28 10:40:00
ORD-2023000080,CUST-183667,Christina Becker,PROD-87118,Nike Pro 111,Sports,1.0,670.18,0.0,0.07,1536.03,PayPal,Pending,2023-06-04,Dortmund,DE,Standard,2024-10-06,Cancelled,WH-DRS,Regular,Tablet,True,3.0,2023-03-17 06:59:00
ORD-2023000081,CUST-996865,Christina Weber,PROD-92712,Nike Plus 9668,Food,2.0,984.78,0.0,0.19,318.24,Bank Transfer,COMPLETED,22-12-2025,Dortmund,DE,express,03/11/2024,Cancelled,WH-FRA,Budget,mobile,True,,2023-05-14 11:53:00
ORD-2023000082,CUST-344098,Leon Becker,PROD-77913,Apple Max 4763,Electronics,1.0,323.75,0.0,0.19,720.28,Bank Transfer,COMPLETED,22 May 2025,Duisburg,GERMANY,express,2024-12-28,Cancelled,WH-DRS,Budget,Tablet,False,5.0,2023-05-06 21:12:00
ORD-2023000083,CUST-205907,Lukas Weber,PROD-65697,Bosch Pro 965,Food,1.0,897.7,4.54,0.19,1813.24,Klarna,completed,07-06-2025,Duisburg,Deutschland,Pickup,2024-06-08,Delivered,WH-BER,Premium,Tablet,True,1.0,2023-01-06 16:33:00
ORD-2023000084,CUST-498591,Sabine Sowah,PROD-25286,Adidas Max 6842,Toys,2.0,38.83,9.08,0.19,1968.18,Klarna,completed,2023-01-01,Dortmund,GERMANY,express,11-03-2024,delivered,WH-FRA,VIP,Mobile,True,5.0,2023-11-01 07:52:00
ORD-2023000085,CUST-391476,Daniel Wolf,PROD-39475,IKEA Pro 3989,Electronics,3.0,833.24,9.54,0.19,1963.91,credit_card,Pending,2024-05-10,Hamburg,Deutschland,express,2023-02-23,DELIVERED,WH-DRS,New,Desktop,True,3.0,2023-05-19 11:37:00
ORD-2023000086,CUST-575435,Anna Wagner,PROD-16760,Nike Max 5545,Sports,1.0,765.27,3.16,0.19,1826.31,Klarna,Failed,2023-02-18,Dortmund,DE,Standard,2024-11-03,Cancelled,WH-HAM,Regular,Mobile,False,,2023-08-13 08:20:00
ORD-2023000087,CUST-766563,Mia Wagner,PROD-75088,IKEA Plus 7274,Electronics,5.0,523.33,7.24,0.19,504.74,paypal,Failed,2025-02-15,Dresden,GERMANY,Next Day,2025-08-02,Delivered,WH-FRA,Premium,MOBILE,True,,2023-12-20 19:32:00
ORD-2023000088,CUST-974628,Sarah Fischer,PROD-50831,IKEA Plus 3464,Home,2.0,675.25,11.31,0.19,1524.98,Klarna,pending,2024-01-23,Dortmund,DE,standard,2024-04-21,In Transit,WH-CGN,Budget,Tablet,True,5.0,2023-02-22 05:21:00
ORD-2023000089,CUST-482554,Leon Osei,PROD-70995,Samsung Plus 3673,Books,1.0,702.76,0.0,0.07,725.72,Bank Transfer,Completed,2023-02-02,Bremen,DE,Pickup,21-04-2023,Shipped,WH-FRA,New,Mobile,True,3.0,2023-07-22 03:55:00
ORD-2023000090,CUST-270555,Paul Wolf,PROD-96421,Nike Plus 3832,Clothing,1.0,123.83,0.0,0.19,1318.73,Klarna,Completed,2023-07-17,Stuttgart,Germany,standard,2024-09-17,Shipped,WH-FRA,VIP,Tablet,True,4.0,2023-07-13 18:34:00
ORD-2023000091,CUST-488162,Paul Osei,PROD-34857,Adidas Plus 5518,Sports,4.0,518.56,0.0,0.19,1422.2,Invoice,Completed,2023-05-07,Hamburg,Germany,Pickup,2024-05-08,Shipped,WH-HAM,Regular,Desktop,False,4.0,2023-12-24 03:44:00
ORD-2023000092,CUST-472528,Lisa Boateng,PROD-68900,Nike Max 9073,Books,1.0,397.85,0.0,0.07,237.63,Invoice,Completed,2024-06-11,Bremen,DE,Next Day,2024-11-03,In Transit,WH-DRS,New,MOBILE,True,,2023-02-04 14:49:00
ORD-2023000093,CUST-319684,Hanna Bauer,PROD-15309,Nike Plus 7849,Beauty,3.0,229.4,11.9,0.19,385.38,Invoice,COMPLETED,2025-10-04,Leipzig,DE,express,2025-09-21,DELIVERED,WH-FRA,VIP,mobile,False,,2023-03-05 03:54:00
ORD-2023000094,CUST-802729,Sophie Wolf,PROD-34494,IKEA Plus 4106,Food,5.0,645.42,6.51,0.19,1250.57,PayPal,Pending,27 Nov 2024,Dortmund,GERMANY,Pickup,2024-09-20,Shipped,WH-CGN,Budget,Desktop,True,5.0,2023-04-18 08:34:00
ORD-2023000095,CUST-379946,Thomas Weber,PROD-47748,Apple Pro 8289,Toys,2.0,592.75,0.0,0.19,1828.56,PayPal,completed,2024-01-03,Cologne,DE,Standard,2024-02-22,In Transit,WH-MUC,Budget,Tablet,True,1.0,2023-09-13 15:16:00
